Day,coronavirus: (United States)
2019-12-03,<1
2019-12-04,<1
2019-12-05,<1
2019-12-06,<1
2019-12-07,<1
2019-12-08,<1
2019-12-09,<1
2019-12-10,<1
2019-12-11,<1
2019-12-12,<1
2019-12-13,<1
2019-12-14,<1
2019-12-15,<1
2019-12-16,<1
2019-12-17,<1
2019-12-18,<1
2019-12-19,<1
2019-12-20,<1
2019-12-21,<1
2019-12-22,<1
2019-12-23,<1
2019-12-24,<1
2019-12-25,<1
2019-12-26,<1
2019-12-27,<1
2019-12-28,<1
2019-12-29,<1
2019-12-30,<1
2019-12-31,<1
2020-01-01,<1
2020-01-02,<1
2020-01-03,<1
2020-01-04,<1
2020-01-05,<1
2020-01-06,<1
2020-01-07,<1
2020-01-08,<1
2020-01-09,<1
2020-01-10,<1
2020-01-11,<1
2020-01-12,<1
2020-01-13,<1
2020-01-14,<1
2020-01-15,<1
2020-01-16,<1
2020-01-17,<1
2020-01-18,1
2020-01-19,1
2020-01-20,2
2020-01-21,14
2020-01-22,17
2020-01-23,19
2020-01-24,40
2020-01-25,44
2020-01-26,50
2020-01-27,55
2020-01-28,59
2020-01-29,56
2020-01-30,60
2020-01-31,56
2020-02-01,46
2020-02-02,39
2020-02-03,34
2020-02-04,31
2020-02-05,28
2020-02-06,30
2020-02-07,31
2020-02-08,29
2020-02-09,26
2020-02-10,26
2020-02-11,26
2020-02-12,23
2020-02-13,26
2020-02-14,21
2020-02-15,19
2020-02-16,18
2020-02-17,20
2020-02-18,19
2020-02-19,17
2020-02-20,15
2020-02-21,17
2020-02-22,20
2020-02-23,24
2020-02-24,35
2020-02-25,53
2020-02-26,80
2020-02-27,96
2020-02-28,91
2020-02-29,100
2020-03-01,85
